title,price,lt,lb
"Rumah Minimalis Baru di Tomang, Lokasi Strategis, SHM, Siap Huni","Rp 2,19 Miliar",  60 m²,  120 m²
Rumah 2 Lantai siap huni Perumahan Metland Menteng Cakung Jakarta Timur dekat dengan Jakarta Garden City,"Rp 2,4 Miliar",  160 m²,  130 m²
Luxury House Utan Kayu dekat Golf Rawamangun,"Rp 2,2 Miliar",  75 m²,  190 m²
Rumah Modern Classic dekat Apartemen Arandra,"Rp 1,4 Miliar",  45 m²,  68 m²
Rumah Murah Kemang ]Mewah,"Rp 9,5 Miliar",  156 m²,  300 m²
Rumah Murah Mewah Tebet Mas,Rp 16 Miliar,  350 m²,  340 m²
Rumah Mewah Murah Kebayoran Lama Jalan Bendi,"Rp 9,6 Miliar",  310 m²,  420 m²
Rumah Kost Murah Butuh Jual Cepat Cipete Puri Mutiara ,Rp 28 Miliar,  1500 m²,  600 m²
Rumah Mewah Murah Taman Cilandak Jual Cepat,Rp 16 Miliar,  800 m²,  600 m²
Termurah 8x18m2 Hanya 2.975 M Nego Ready Survey,"Rp 2,97 Miliar",  144 m²,  104 m²
"Turun Harga Sudah Murah Rumah Kost Furnished Radio Dalam, Jaksel","Rp 4,3 Miliar",  201 m²,  350 m²
Rumah Hook 3 lantai tercantik di Jagakarsa,"Rp 1,79 Miliar",  78 m²,  131 m²
"Rumah Taman Meruya Ilir Luas Tanah 300 Meter, Row Jalan 3 Mobil","Rp 6,5 Miliar",  300 m²,  250 m²
Dhyana Rumah Jelambar Uk 12.5x20.5m Lokasi Bagus Komplek Kavling Polri,"Rp 6,7 Miliar",  260 m²,  400 m²
"Dhyana Rumah Uk 4.5x15m di Komplek Greenvil, Kebun Jeruk","Rp 1,95 Miliar",  67 m²,  90 m²
Dijual Rumah Mewah Medit Resort Pik,Rp 62 Miliar,  1013 m²,  1200 m²
Turun Harga Jual Cepat Rumah Jati Padang Jaksel,"Rp 5,6 Miliar",  264 m²,  280 m²
Dijual Cepat Rumah 2 Lantai di Kebon Jeruk,"Rp 2,25 Miliar",  121 m²,  150 m²
"Rumah Pluit Murni 10x25, Furnish, 3,5 Lantai",Rp 10 Miliar,  250 m²,  600 m²
Rumah Muara Karang Luas 10x20 Termurah,"Rp 4,7 Miliar",  200 m²,  250 m²
Rumah 4lantai Bangunan Sendiri Siap huni,"Rp 3,15 Miliar",  90 m²,  328 m²
Rumah Minimalis di Griya inti Fully Furnish,"Rp 4,9 Miliar",  119 m²,  180 m²
Rumah duri kepa di Jalan asem shm 3 lantai,"Rp 1,99 Miliar",  63 m²,  180 m²
Rumah Tanjung duren di jalan menteng 3 Lantai SHM Baru jalan 2 mobil,"Rp 2,8 Miliar",  71 m²,  150 m²
